"Source_Pillar","Target_Pillar","Dependency_Type","Mechanism","Vermont_Evidence"
"Policy","Policy","Null/Secondary","N/A - Secondary Feedback Loop","N/A - Secondary Feedback Loop"
"Policy","Economics","ENABLES (Critical Path)","Mandatory authority enables structural payment reform","Act 68 RBP and Global Budget mandates"
"Policy","Technology","Null/Secondary","N/A - Secondary Feedback Loop","N/A - Secondary Feedback Loop"
"Policy","Clinical","Null/Secondary","N/A - Secondary Feedback Loop","N/A - Secondary Feedback Loop"
"Policy","Equity","ENABLES","Statutory mandates embed equity accountability","Act 68 and Act 167 equity requirements"
"Policy","Operations","REQUIRES (Critical Path)","Statutory deadlines force execution capacity","Dec 2028 Strategic Plan deadline"
"Economics","Policy","Null/Secondary","N/A - Secondary Feedback Loop","N/A - Secondary Feedback Loop"
"Economics","Economics","Null/Secondary","N/A - Secondary Feedback Loop","N/A - Secondary Feedback Loop"
"Economics","Technology","REQUIRES","Value-Based Care (VBC) contracts require data infrastructure","AHEAD Model and VHCURES analytics"
"Economics","Clinical","DRIVES (Critical Path)","Payment incentives drive care delivery redesign","Global Budgets and Blueprint for Health ROI"
"Economics","Equity","REQUIRES","VBC design must include social risk adjustment","AHEAD social risk adjustment methodology"
"Economics","Operations","Null/Secondary","N/A - Secondary Feedback Loop","N/A - Secondary Feedback Loop"
"Technology","Policy","Null/Secondary","N/A - Secondary Feedback Loop","N/A - Secondary Feedback Loop"
"Technology","Economics","ENABLES","Analytics makes VBC financial management possible","APM Shared Savings and Financial Stress Test modeling"
"Technology","Technology","Null/Secondary","N/A - Secondary Feedback Loop","N/A - Secondary Feedback Loop"
"Technology","Clinical","ENABLES","Data infrastructure enables population health management","Blueprint clinical registry and AI scribe grants"
"Technology","Equity","ENABLES (Critical Path)","Disaggregated data reveals disparities hidden in averages","VHCURES race and ethnicity data gaps"
"Technology","Operations","Null/Secondary","N/A - Secondary Feedback Loop","N/A - Secondary Feedback Loop"
"Clinical","Policy","Null/Secondary","N/A - Secondary Feedback Loop","N/A - Secondary Feedback Loop"
"Clinical","Economics","Null/Secondary","N/A - Secondary Feedback Loop","N/A - Secondary Feedback Loop"
"Clinical","Technology","Null/Secondary","N/A - Secondary Feedback Loop","N/A - Secondary Feedback Loop"
"Clinical","Clinical","Null/Secondary","N/A - Secondary Feedback Loop","N/A - Secondary Feedback Loop"
"Clinical","Equity","ENABLES","Care delivery expansion via RHT Program access mechanisms","Northeast Kingdom access expansion and RHT Program telehealth"
"Clinical","Operations","REQUIRES","Care models require execution infrastructure","Collaborative Care Model and CCBHC capacity"
"Equity","Policy","CONSTRAINS","Equity accountability constrains policy design","Health Equity Advisory Commission consultation"
"Equity","Economics","Null/Secondary","N/A - Secondary Feedback Loop","N/A - Secondary Feedback Loop"
"Equity","Technology","Null/Secondary","N/A - Secondary Feedback Loop","N/A - Secondary Feedback Loop"
"Equity","Clinical","CONSTRAINS","Equity constrains care delivery design","HRSN universal screening and cultural competence"
"Equity","Equity","Null/Secondary","N/A - Secondary Feedback Loop","N/A - Secondary Feedback Loop"
"Equity","Operations","Null/Secondary","N/A - Secondary Feedback Loop","N/A - Secondary Feedback Loop"
"Operations","Policy","ENABLES","Implementation data feeds back into policy design","AHS monthly reports to the legislature"
"Operations","Economics","Null/Secondary","N/A - Secondary Feedback Loop","N/A - Secondary Feedback Loop"
"Operations","Technology","REQUIRES","Workforce runs the data infrastructure","Vermont CIN shared analytics and IT staffing"
"Operations","Clinical","Null/Secondary","N/A - Secondary Feedback Loop","N/A - Secondary Feedback Loop"
"Operations","Equity","Null/Secondary","N/A - Secondary Feedback Loop","N/A - Secondary Feedback Loop"
"Operations","Operations","Null/Secondary","N/A - Secondary Feedback Loop","N/A - Secondary Feedback Loop"
